2020-04-10 14:40:42.925106 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| No ||| 10.10.10.5 ||| 8 ||| 0 ||| 47706 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:40:43.932195 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| No ||| 10.10.10.5 ||| 8 ||| 0 ||| 55101 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:40:44.956285 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| No ||| 10.10.10.5 ||| 8 ||| 0 ||| 64990 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:40:45.980407 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| No ||| 10.10.10.5 ||| 8 ||| 0 ||| 41088 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:40:47.004620 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| No ||| 10.10.10.5 ||| 8 ||| 0 ||| 15651 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:42:03.503804 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| TCP ||| 10.10.10.2 ||| Yes ||| 10.10.10.5 ||| 38806 ||| 23 ||| 570786721 ||| 0 ||| 0 ||| 0 ||| 0 ||| 0 ||| 1 ||| 0
2020-04-10 14:42:21.061636 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| Yes ||| 10.10.10.5 ||| 8 ||| 0 ||| 3914 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:42:22.064094 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| Yes ||| 10.10.10.5 ||| 8 ||| 0 ||| 59197 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:42:23.067657 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| Yes ||| 10.10.10.5 ||| 8 ||| 0 ||| 48686 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:42:24.095729 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| Yes ||| 10.10.10.5 ||| 8 ||| 0 ||| 56511 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:42:25.139071 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| Yes ||| 10.10.10.5 ||| 8 ||| 0 ||| 43811 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:42:26.138368 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| Yes ||| 10.10.10.5 ||| 8 ||| 0 ||| 17433 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:42:27.140070 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| Yes ||| 10.10.10.5 ||| 8 ||| 0 ||| 64271 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
2020-04-10 14:42:28.159898 ||| 08:00:27:68:2F:25 ||| 08:00:27:3F:9A:93 ||| IPv4 ||| 64 ||| ICMP ||| 10.10.10.2 ||| Yes ||| 10.10.10.5 ||| 8 ||| 0 ||| 51910 ||| test |   |   |   |   |   | \x00 || test2 |   |   |   |   | cve-0000-00001 | \x00\x00 || Pingg |   |   |   |   |   | \x00\x00\x00\x00\x00\x10\x11\x12\x13\x14\x15\x16\x17\x18\x19\x1a\x1b\x1c\x1d\x1e\x1f\x20\x21\x22\x23\x24\x25\x26\x27\x28\x29\x2a\x2b\x2c\x2d\x2e\x2f\x30\x31\x32\x33\x34\x35\x36\x37
